Unnamed: 0,car_name,brand,model,vehicle_age,km_driven,seller_type,fuel_type,transmission_type,mileage,engine,max_power,seats,selling_price
16117,66,18,13,3,70000,1,1,1,27.39,1248,74.0,5,600000
16118,14,3,49,5,120000,1,4,1,20.62,1198,67.0,7,200000
16119,66,18,13,2,40000,1,4,1,21.4,1197,83.1,5,525000
16121,76,18,88,7,50000,1,4,1,18.6,1197,85.8,5,450000
16122,113,29,60,6,65000,0,1,1,12.99,2494,100.6,7,850000
16123,65,18,7,10,50000,1,4,1,20.92,998,67.1,5,145000
16124,88,21,48,4,32000,0,1,0,11.0,2987,258.0,7,7000000
16125,27,7,25,8,57000,0,4,1,17.0,1497,118.0,5,590000
16126,79,18,100,8,140000,1,0,1,26.6,998,58.16,5,275000
16127,65,18,7,5,60000,1,4,1,23.95,998,67.05,5,280000
16128,38,8,97,7,30666,0,1,1,22.32,1582,126.3,5,565000
